"StoreID","Store_Name","Longitude","Latitude","Address"
1,"Robs Quick Stop",-122.65348,47.574707,"2708 15th St Bremerton WA 98312"
2,"YOU & I MARKET",-124.20272,47.208824,"51 Main St Pacific Beach WA 98571"
3,"R & D PETROLEUM",-122.87971,46.306038,"1204 Spirit Lake Hwy Castle Rock WA 98611"
4,"Home Deli & Grocery",-122.33291,47.623161,"500 Minor Ave N Seattle WA 98109"
5,"Walgreens 01085",-122.37012,45.585293,"3328 NE 3rd Ave Camas WA 98607"
6,"Harry's Food Mart",-117.26221,47.625156,"3458 S Dishman Mica Rd Spokane Valley WA 99206"
7,"Walgreens 1993",-117.23917,47.657112,"12312 E Sprague Ave Spokane Valley WA 99216"
8,"Baek Chun Restaurant & Grocery",-117.59115,47.642536,"13032 W 14th Airway Heights WA 99001"
9,"DENNYS HARVEST FOODS",-117.68169,47.579857,"215 E SR 902 MEDICAL LAKE WA 99022"
10,"7-Eleven Store 18553D",-122.34255,47.654915,"3939 Stone Way N Seattle WA 98103"
11,"Checkers II Shell",-122.46733,47.250137,"2301 S 12th St Tacoma WA 98405"
12,"Dollars & Deals",-117.04261,48.184063,"300 W Walnut St Newport WA 99156"
13,"LA FAVORITA",-120.18903,46.34605,"600 Bailey Ave Granger WA 98932"
14,"Winlock Shell",-122.88599,46.47636,"642 State Highway 505 Winlock WA 98596"
15,"Trader Joe's 148",-122.53716,47.222794,"3800 Bridgeport Way W University Place WA 98466"
16,"QWIKS COUNTRY STORE",-119.11172,46.460491,"13101 Glade North Rd Eltopia WA 99330"
17,"PACIFIC FOOD TRADING",-122.23827,47.910919,"9605 Evergreen Way Everett WA 98204"
18,"Golden Steer Choice Meats",-122.13621,47.628204,"15255 Bel Red Rd Bellevue WA 98007"
19,"CASO'S COUNTRY FOODS",-119.55395,48.387276,"2406 Elmway Okanogan WA 98840"
20,"Walgreens 1089",-122.5341,45.618763,"13503 SE Mill Plain Blvd Vancouver WA 98684"
21,"DUANES GARDEN PATCH",-122.32318,47.502529,"11215 8th Ave S Seattle WA 98168"
22,"CAMAS PRODUCE",-122.40677,45.600945,"2940 NE Everett St Camas WA 98607"
23,"7-Eleven 23938C",-122.22886,47.272171,"4026 A St SE Auburn WA 98002"
24,"Walgreens 01084",-122.54581,45.780766,"808 W Main St Battle Ground WA 98604"
25,"Royal 76",-122.50406,47.234512,"5015 Center St Tacoma WA 98409"
26,"PAPA MURPHYS PIZZA 28",-122.15419,47.44405,"17650 140th Ave SE Renton WA 98058"
27,"LUCKY ONE FOOD STORE",-122.27186,47.54105,"6815 Rainier Ave S Seattle WA 98118"
28,"Walgreens 01090",-122.50615,45.637299,"1900 NE 162nd Ave Vancouver WA 98684"
29,"WALGREENS 01093",-122.6714,45.639828,"2521 Main St Vancouver WA 98660"
30,"Towner & Towner",-117.43698,47.675201,"1906 N Ash St Spokane WA 99205"
31,"MOXEE MARKET",-120.38319,46.553749,"105 S Iler St MOXEE WA 98936"
32,"Youngs Market",-122.31824,47.430641,"19239 Des Moines Memorial Dr Seatac WA 98148"
33,"Key Peninsula Market",-122.66549,47.388992,"9522 State Route Hwy 302 NW Wauna WA 98329"
34,"FREEWAY MART",-122.97372,46.711781,"1232 Mellen St Centralia WA 98531"
35,"SPRINGDALE GROCERY & HARDWARE",-117.74335,48.0578,"W 203 SHAFFER SPRINGDALE WA 99173"
36,"D & J EZ MINI MART",-122.19951,47.940861,"6221 Broadway Everett WA 98203"
37,"WALGREENS 11635",-122.60398,45.667976,"6708 NE 63rd St Vancouver WA 98661"
38,"STOP & SHOP",-122.13244,47.622082,"1313 156th Ave NE Bellevue WA 98007"
39,"WALGREENS 07700",-122.38228,47.29723,"34008 Hoyt Rd SW Federal Way WA 98023"
40,"WALGREENS 07136",-121.98801,47.200211,"1350 Garrett St Enumclaw WA 98022"
41,"Walgreens 06814",-122.29189,47.098392,"10302 Sunrise Blvd E Puyallup WA 98374"
42,"5 Mile Lakeside Grocery",-122.28156,47.272705,"36644 Military Rd S Auburn WA 98001"
43,"Spruce Market",-122.28193,47.849697,"16404 36th Ave W Lynnwood WA 98037"
44,"Hamilton Cafe Store",-121.98994,48.522083,"541 Maple St Hamilton WA 98255"
45,"FRUITS & VEGETABLES",-122.55783,45.666061,"11210 NE Fourth Plain Rd Vancouver WA 98662"
46,"Whitley Oil 4",-117.06499,48.174278,"333111 Highway 2 Newport WA 99156"
47,"Apex Food",-118.33035,46.067612,"410 E Alder St Walla Walla WA 99362"
48,"UNION MARKET",-122.30489,47.612873,"2101 E Union St Seattle WA 98122"
49,"Walmart 5073",-122.11015,47.359428,"17432 SE 270th Pl Covington WA 98042"
50,"7-12 GROCERY",-122.49007,47.231251,"4002 Center St Tacoma WA 98409"
51,"SHOPPING SPOT",-119.12829,46.231529,"148 S Road 28 Pasco WA 99301"
52,"BREAK PLACE CONOCO",-119.19215,46.223286,"5304 W Canal Dr Kennewick WA 99336"
53,"RITE AID 5285",-122.95934,46.658188,"551 S Market Blvd Chehalis WA 98532"
54,"RITE AID 5287",-122.89573,46.143635,"230 Kelso Dr Kelso WA 98626"
55,"RITE AID 5288",-122.9317,46.144772,"364 Triangle Ctr Longview WA 98632"
56,"RITE AID 5291",-122.53371,45.619801,"13511 SE 3rd Way Vancouver WA 98684"
57,"7-Eleven 16319D",-122.29251,47.193027,"121 E Stewart Ave Puyallup WA 98372"
58,"RITE AID 5175",-122.31345,47.31501,"32015 Pacific Hwy S Federal Way WA 98003"
59,"RITE AID 5185",-121.98081,47.199364,"232 Roosevelt Ave Enumclaw WA 98022"
60,"RITE AID 5191",-122.30498,47.366295,"26200 Pacific Hwy S Kent WA 98032"
61,"RITE AID 5207",-122.32094,47.620049,"201 Broadway E Seattle WA 98102"
